returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,614358,2057236,strict,UK004F,Glasgow,1831890
4G9wSdX0klmoHfjm9i6DLd,Loathe,613049,1996442,strict,UK006F,Liverpool,1540817
6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,736715,1883347,strict,UK002F,Birmingham,3135994
0O0lrN34wrcuBenkqlEDZe,The Psychedelic Furs,722130,1846381,strict,UK001F,London,12274097
1n65zfwYIj5kKEtNgxUlWb,Siouxsie and the Banshees,1457428,1823237,strict,UK001F,London,12274097
2pH3wEn4eYlMMIIQyKPbVR,DragonForce,1321799,1802181,strict,UK001F,London,12274097
7sjttK1WcZeyLPn3IsQ62L,Noel Gallagher's High Flying Birds,1117710,1799845,strict,UK008F,Manchester,3432092
14H7ag1wpQOsPPQJOD6Dqr,Zero 7,592881,1686407,strict,UK001F,London,12274097
4GvOygVQquMaPm8oAc0vXi,The Streets,601898,1675316,strict,UK002F,Birmingham,3135994
0G8zjE6SsFTlbglCkU8pm3,Starsailor,247718,1655319,strict,UK008F,Manchester,3432092
6Hd3xhv1sj3rlojjvGLkGR,Black Box Recorder,243011,1619909,strict,UK001F,London,12274097
5rIqOJspxDq89aBBCUda1X,Smokie,728999,1611813,strict,UK003F,Leeds,2969034
2P560DaOMNDUACoH8ZhOCR,The Jam,862279,1609992,strict,UK001F,London,12274097
6w6z8m4WXX7Tub4Rb6Lu7R,Jethro Tull,2025126,1535908,strict,UK532F,Luton,224958
1N2FgBLehaq77UEdJhCt7f,Saint Etienne,195555,1513825,strict,UK001F,London,12274097
3jTlKw98Ql1jGRPYqhqHap,Skindred,681458,1507719,strict,UK558F,Newport,252141
4uRYpUQZrNrY5t8tAv3XrD,NERO,808732,1501385,strict,UK001F,London,12274097
2utNxkLhreF1oIfO8kQT3q,Manfred Mann's Earth Band,487796,1497096,strict,UK001F,London,12274097
6rEzedK7cKWjeQWdAYvWVG,Five,551020,1473171,strict,UK001F,London,12274097
6xnvNmSzmeOE1bLKnYXKW3,The Specials,741585,1432373,strict,UK025F,Coventry,741982
1NUD5By34MFynmuUynCfSj,The Real Thing,112151,1425692,strict,UK006F,Liverpool,1540817
1EJWNhiYbOyeUHbsS7Kp1P,Sneaker Pimps,342340,1412387,strict,UK559F,Middlesbrough,570155
6zpPKMhpOoG646kJgZ7RKf,Johnny Hates Jazz,249325,1399373,strict,UK001F,London,12274097
