popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
559,5OK8j1JnhoBlivN32G7yOO,This Mortal Coil,Q1754136,200368,236565,This Mortal Coil,ok,107917,12,excluded_no_defensible_fua,,,False,5.301828363237554,5.033089863817711,4.82455186665525,0.2085379971624608,411.0,345.0
560,4qobOrZpdUri80gScwsHfs,Bondax,Q15528102,111883,235766,Bondax,ok,1813,12,excluded_no_defensible_fua,,,False,5.048764102908446,3.258397804095509,4.643590443597194,-1.3851926395016854,545.0,914.0
561,2CxLP749mup3ncPrXgCnvU,Humble Pie,Q664459,375622,234347,Humble Pie,ok,237608,12,strict,UK001F,London,True,5.574751020758066,5.375861058772816,5.0197136505652695,0.35614740820754687,289.0,185.0
562,6imyM8T1Xbe8v2iZe41dR7,Haircut 100,Q366679,99361,233270,,not_captured,0,0,excluded_no_defensible_fua,,,False,,,,,,
563,41yDmxekjnWShKi6nRmzZ4,Rivers & Robots,Q22080889,136616,233180,Rivers & Robots,ok,4503,12,excluded_no_defensible_fua,,,False,5.135501565412789,3.653501946962933,4.705614747727766,-1.0521128007648328,500.0,881.0
564,0ZUyFEafMwocvApBjTXvdo,This Is The Kit,Q15044932,129605,229902,This Is the Kit,ok,21612,12,excluded_no_defensible_fua,,,False,5.112621756399718,4.334694958867158,4.6892538329430495,-0.3545588740758916,516.0,705.0
565,1TrwMxRrrlk0hZxJkw4jUF,Levellers,Q1380135,94240,228842,Levellers (band),ok,78575,12,strict,UK515F,Brighton and Hove,True,4.974235277443026,4.895284389689618,4.590296302822325,0.30498808686729273,584.0,423.0
566,7n1EM42Fseebd9H2p8eWWS,New Model Army,Q1501951,124775,226980,New Model Army (band),ok,73345,12,strict,UK003F,Leeds,True,5.09612757853816,4.865370512911087,4.677459161130765,0.18791135178032192,523.0,443.0
567,3gnrmLahFhVXRI9DA1MImH,We Were Promised Jetpacks,Q1488607,142629,226591,We Were Promised Jetpacks,ok,23110,12,strict,UK007F,Edinburgh,True,5.154207837293531,4.363799945479109,4.718991245757348,-0.3551913002782383,492.0,691.0
568,6C0JkmxU2cgkVzotHJgfW7,Athlete,Q580268,142136,225403,Athlete (band),ok,22085,12,strict,UK001F,London,True,5.152704089336525,4.34409740359441,4.717915944290967,-0.37381854069655684,493.0,703.0
