popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
502,7DEseTqRODmSu3C7jxCHl5,The Boxer Rebellion,Q1633685,280654,126547,The Boxer Rebellion,2001.0,Q183504,indie rock,Rock and indie,,,,,The Boxer Rebellion (band),strict,UK001F,London,12274097.0,True,True,True,2000
503,0roeI3yPusDWwWRzAqTopw,Jesus Jones,Q4387765,280634,66527,Jesus Jones,1986.0,Q11366,alternative rock,Rock and indie,Q5465369,Food Records,,,Jesus Jones,excluded_no_defensible_fua,,,,False,True,True,1980
504,1GWV70Reko15eV2nHCm0bM,The Blue Nile,Q1970440,278387,109768,The Blue Nile,1981.0,Q37073|Q378988,adult contemporary music|pop music,"Other genres|Pop, soul and R&B",Q843402,Warner Bros. Records,,,The Blue Nile (band),strict,UK004F,Glasgow,1831890.0,True,True,True,1980
505,2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,Q1141454,278011,252497,The Dave Clark Five,1957.0,Q484641|Q546264,beat music|pop rock,"Pop, soul and R&B|Rock and indie",Q183387|Q193023|Q216364,Capitol Records|Columbia Records|Epic Records,Q1173155|Q1933525|Q2067378|Q2101215|Q80808,Dave Clark|Denis Payton|Lenny Davidson|Mike Smith|Rick Huxley,The Dave Clark Five,strict,UK001F,London,12274097.0,True,True,True,1950
506,3qQloBz05T6e0rKubNCmjG,Young Gun Silver Fox,Q100599254,276802,77208,Young Gun Silver Fox,2012.0,Q131272|Q217191|Q45981,rhythm and blues|soft rock|soul,"Pop, soul and R&B|Rock and indie",,,Q3481623,Shawn Lee,Young Gun Silver Fox,excluded_no_defensible_fua,,,,False,True,True,2010
507,0aTdKgInKeMlNnwWSa1YPT,OceanLab,Q1971039,276395,83360,OceanLab,2000.0,Q170435,trance,Other genres,Q160732|Q551566,Anjunabeats|Armada,,,OceanLab,strict,UK001F,London,12274097.0,True,True,True,2000
508,51Eq6WMVEOjjx9KQMAnneG,The Cribs,Q1146764,276100,212021,The Cribs,2002.0,Q183504|Q3071,indie rock|punk rock,Punk and new wave|Rock and indie,Q1810123,Wichita Recordings,Q16220974|Q317742|Q5129789|Q7369432,Gary Jarman|Johnny Marr|Ross Jarman|Ryan Jarman,The Cribs,strict,UK003F,Leeds,2969034.0,True,True,True,2000
509,3VQXCMRCSzdKek71OkAL3Q,World News,Q135966902,276065,17710,World News,2018.0,Q11366,alternative rock,Rock and indie,,,,,World News (band),strict,UK515F,Brighton and Hove,441252.0,True,True,True,2010
510,2i8ynmFv4qgRksyDlBgi6d,Wire,Q1135620,272502,240002,Wire,1976.0,Q659599,art punk,Punk and new wave,Q240804,Mute Records,Q1641565|Q3435254|Q4977553|Q5593023,Bruce Gilbert|Colin Newman|Graham Lewis|Robert Gotobed,Wire (band),strict,UK001F,London,12274097.0,True,True,True,1970
511,14GEKKALFIO2oB9IdGXg2e,Reverend And The Makers,Q2146848,271305,95993,Reverend and The Makers,2005.0,Q183504,indie rock,Rock and indie,Q2996526,Cooking Vinyl,Q1702804,Jon McClure,Reverend and the Makers,strict,UK010F,Sheffield,1168389.0,True,True,True,2000
512,191Koh7PSIi28IrGAGoINO,Reef,Q652420,269572,68741,Reef,1993.0,Q11366,alternative rock,Rock and indie,Q3001888,"Sony BMG Music Entertainment, Inc.",Q112374592,Gary Stringer,Reef (band),excluded_no_defensible_fua,,,,False,True,True,1990
513,3q7uty73JMtjzCSJdGQD7B,Cinnamon Chasers,Q2669700,269301,52546,Cinnamon Chasers,,Q817138,electronica,Electronic and dance,,,Q26177330,Russ Davies,,excluded_no_defensible_fua,,,,False,True,False,
514,5pL8Q5xbDLEDE6JvYMXX9u,Nu:Logic,Q7067693,269288,41401,Nu:Logic,,Q188994,drum and bass,Electronic and dance,Q1630451,Hospital Records,,,Nu:Logic,strict,UK017F,Cambridge,396189.0,True,True,False,
515,2bt3I0VkmYuPvP57sxokab,Stiff Little Fingers,Q1538935,266703,236374,Stiff Little Fingers,1977.0,Q3071,punk rock,Punk and new wave,Q7204422,PledgeMusic,Q3806274,Jake Burns,Stiff Little Fingers,strict,UK012F,Belfast,803943.0,True,True,True,1970
