fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,model_included,expected_follower_median,expected_follower_mean_smearing,expected_follower_median_share,expected_median_ci_low,expected_median_ci_high,log_residual,studentized_log_residual,observed_to_expected_median,leverage,cooks_distance,residual_rank
UK531F,Warrington,Warrington,2021,211182,1,245749.0,146142.0,Viola Beach,146142.0,0.004062861596884951,0.001,0.00010877398039103934,0.00015982788852096313,0.2461319383280772,0.026772750633306773,0.03933874800054849,1.0,one selected band,True,495471.06225858105,1387118.6745396662,0.00054187087698285,301362.9616497247,814604.3302460721,-1.220930199195486,-0.8203185963784686,0.29495567174764714,0.023056312244633698,0.007940638629680745,50
UK518F,Derby,Derby,2021,495753,1,2895181.0,468353.0,The Struts,468353.0,0.009537630220570432,0.001,0.0012814715881753727,0.0005122132656762508,0.10484784761766446,0.13435953780337792,0.053704458427369824,1.0,one selected band,True,1815903.9889000326,5083797.069181273,0.001985959548265979,1266915.8451961637,2602783.2151649175,-1.3551164031145326,-0.9077852000589505,0.2579172703308507,0.01725694867296613,0.007235361356284903,51
UK546F,Colchester,Colchester,2021,341583,1,1039829.0,242915.0,Modern English,242915.0,0.006571603890713944,0.001,0.0004602514730722569,0.000265663474840017,0.15216985330066193,0.07003639913881889,0.04042597199374948,1.0,one selected band,True,1030093.3612754571,2883844.984672009,0.00112655942105704,688461.994776529,1541250.4117793664,-1.4446931312213582,-0.9675461588719985,0.2358184307675023,0.016757136704142462,0.007977235263782531,52
UK553F,Blackpool,Blackpool,2021,335160,1,410364.0,192021.0,Boston Manor,192021.0,0.006448033889308559,0.001,0.0001816362454748075,0.00021000335962066937,0.15508603353622152,0.02816924485709936,0.03256858807285032,1.0,one selected band,True,1000757.6741598345,2801716.920031786,0.0010944765090262645,666840.9035353411,1501881.3589270522,-1.6509079252050363,-1.1057096161441138,0.19187562080021756,0.01685742235817574,0.010481582108810271,53
UK045F,Worthing,Worthing,2021,111654,1,101724.0,31701.0,The Ordinary Boys,31701.0,0.0021480748773029536,0.001,4.502530786004454e-05,3.4669731452991285e-05,0.4655331201748258,0.02096077205491864,0.016139908258934327,1.0,one selected band,True,187823.00884892643,525828.4951999993,0.0002054122354968324,97230.50085612296,362823.2122887634,-1.7791518509748716,-1.2080614425943412,0.16878123822144914,0.04346479166409546,0.033157722527402005,54
UK027F,Stoke-on-Trent,Stoke-on-Trent,2021,477116,2,133820.0,186628.0,Discharge,153668.0,0.009179079058155336,0.002,5.923171225896702e-05,0.00020410531660227936,0.21788678225001887,0.00645290359563266,0.022235925337296,0.8233919883404419,two or more selected bands,True,1713027.4981933213,4795784.484188143,0.0018734488922731761,1191767.47564443,2462278.3131245496,-2.2169002201006407,-1.4848870117491446,0.1089462954896117,0.01698883802762075,0.019052942110077586,55
UK545F,Peterborough,Peterborough,2021,216470,1,26774.0,52002.0,The Wytches,52002.0,0.004164595703600143,0.001,1.1850768674499947e-05,5.687187707070606e-05,0.24011934679170324,0.002845598833100506,0.013656037973035984,1.0,one selected band,True,514477.1227127333,1440327.960396255,0.0005626568147111481,314678.9442594384,841132.5721766461,-2.2918689098182305,-1.5394552907665928,0.10107738071190414,0.022541430076440588,0.027326705214928946,56
UK046F,Mansfield,Mansfield,2021,110592,1,67864.0,18419.0,B-Movie,18419.0,0.0021276434057954773,0.001,3.003811777568777e-05,2.0143900307013863e-05,0.4700035716869213,0.014118022641325651,0.009467705092001786,1.0,one selected band,True,185110.70046058873,518235.128194016,0.00020244592517724112,95577.29012233311,358515.8292430289,-2.307571286450962,-1.5671998415954547,0.09950262169701805,0.04387545409574523,0.05635415201349797,57
UK566F,Norwich,Norwich,2021,417964,1,81221.0,113814.0,Let's Eat Grandma,113814.0,0.008041073029332147,0.001,3.5950223444818115e-05,0.00012447243984703164,0.1243615119962485,0.004470824144200562,0.015479580821238943,1.0,one selected band,True,1400459.9200098908,3920721.6242554695,0.001531610022946297,961986.3602450406,2038789.8088851522,-2.5099904389744836,-1.680734956294033,0.08126901625231525,0.01644501893966608,0.023615883929526033,58
UK568F,Cheshire West and Chester,Cheshire West and Chester,2021,512775,1,133646.0,130580.0,The Joy Formidable,130580.0,0.009865110924902125,0.001,5.915469598387316e-05,0.0001428085402079304,0.10136733460094584,0.005996353861014497,0.014476121079129909,1.0,one selected band,True,1911648.3712027762,5351842.633878832,0.002090670189020802,1336593.7654931615,2734113.82685439,-2.6837351046653275,-1.7980735140997879,0.0683075412649458,0.017534339819488553,0.02885073830998248,59
