popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,entity_duplicate,origin_cluster,origin_resolution
71,D-Block Europe [5VadK1havLhK1OpKYsXv9y],,5VadK1havLhK1OpKYsXv9y,D-Block Europe,8351560,1930307,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5VadK1havLhK1OpKYsXv9y,Q63313993,D-Block Europe,D-Block Europe,Q6537297,Lewisham,male duo|musical collective|musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
72,alt-J [3XHO7cRUPCLOr6jwp8vsx5],,3XHO7cRUPCLOr6jwp8vsx5,alt-J,8110938,3499216,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3XHO7cRUPCLOr6jwp8vsx5,Q47996,alt-J,alt-J,Q39121,Leeds,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Leeds,reported_place
73,The Proclaimers [1A92IAcd7A6npCA33oGM5i],,1A92IAcd7A6npCA33oGM5i,The Proclaimers,8100195,438174,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1A92IAcd7A6npCA33oGM5i,Q289622,The Proclaimers,The Proclaimers,Q758624,Auchtermuchty,musical duo|twin brother duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Auchtermuchty,reported_place
74,Dexys Midnight Runners [4QTVePrFu1xuGM9K0kNXkk],,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7999321,384886,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4QTVePrFu1xuGM9K0kNXkk,Q247259,Dexys Midnight Runners,Dexys Midnight Runners,Q2256,Birmingham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Birmingham,reported_place
75,The Kinks [1SQRv42e4PjEYfPhS0Tk9E],,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,7864488,2958309,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1SQRv42e4PjEYfPhS0Tk9E,Q188713,The Kinks,The Kinks,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
76,Supertramp [3JsMj0DEzyWc0VDlHuy9Bx],,3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,7695790,4214119,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3JsMj0DEzyWc0VDlHuy9Bx,Q176457,Supertramp,Supertramp,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
77,Oh Wonder [5cIc3SBFuBLVxJz58W2tU9],,5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,7552797,1128715,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5cIc3SBFuBLVxJz58W2tU9,Q21452721,Oh Wonder,Oh Wonder,Q84,London,musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
78,Goodboys [2nm38smINjms1LtczR0Cei],,2nm38smINjms1LtczR0Cei,Goodboys,7292613,130149,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2nm38smINjms1LtczR0Cei,Q65052503,Goodboys,Goodboys,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
79,The Wanted [2NhdGz9EDv2FeUw6udu2g1],,2NhdGz9EDv2FeUw6udu2g1,The Wanted,7143333,2480552,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2NhdGz9EDv2FeUw6udu2g1,Q34918,The Wanted,The Wanted,Q21,England,boy band|musical group,United Kingdom,,London,Wikidata records only England; Apple Music records London as the formation place,https://music.apple.com/us/artist/the-wanted/3445978,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reviewed_override
80,Culture Club [6kz53iCdBSqhQCZ21CoLcc],,6kz53iCdBSqhQCZ21CoLcc,Culture Club,7076755,1913999,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6kz53iCdBSqhQCZ21CoLcc,Q50037,Culture Club,Culture Club,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
81,Deep Purple [568ZhdwyaiCyOGJRtNYhWf],,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,6998809,6229490,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,568ZhdwyaiCyOGJRtNYhWf,Q101505,Deep Purple,Deep Purple,Q21|Q84|Q9681,England|Hertford|London,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Hertford,reviewed_multi_place_rule
82,The Kooks [1GLtl8uqKmnyCWxHmw9tL4],,1GLtl8uqKmnyCWxHmw9tL4,The Kooks,6950019,2737101,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1GLtl8uqKmnyCWxHmw9tL4,Q211768,The Kooks,The Kooks,Q131491,Brighton,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Brighton,reported_place
83,La Roux [3K2zB87GZv1krx031en5VA],,3K2zB87GZv1krx031en5VA,La Roux,6858904,712440,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3K2zB87GZv1krx031en5VA,Q200002,La Roux,La Roux,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
