popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
120,Motörhead,1DFr97A9HnbV3SKTJFu62M,Q19697,4680274,4453633,strict,UK001F,London,True,True,True,45,3,43,22,True,True,True
121,Yes,7AC976RDJzL2asmZuz7qil,Q184386,2203167,4447983,strict,UK001F,London,True,True,True,44,2,42,23,True,True,True
122,Nazareth,6fvN9GmMCVKb5LY0WsnjFP,Q683695,1724966,4341186,reviewed_extended,UK007F,Edinburgh,True,True,True,0,0,0,0,False,False,False
123,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Q728958,1504353,4201622,strict,UK560F,Oxford,True,True,True,34,0,34,0,True,False,True
127,The Foundations,4GITZM5LCR2KcdlgEOrNLD,Q1421054,169026,4165829,strict,UK001F,London,True,True,True,7,2,5,4,True,True,True
128,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Q5118436,1434807,4152413,strict,UK004F,Glasgow,True,True,True,29,0,29,1,True,False,True
130,Joy Division,432R46LaYsJZV2Gmc4jUV5,Q172763,2965374,4140711,strict,UK008F,Manchester,True,True,True,9,3,8,6,True,True,True
132,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Q1127565,958629,4131358,strict,UK004F,Glasgow,True,True,True,48,0,48,0,True,False,True
133,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,Q83468,4744039,4112763,strict,UK002F,Birmingham,True,True,True,41,1,40,3,True,True,True
134,T. Rex,3dBVyJ7JuOMt4GE9607Qin,Q211770,1266989,4010971,strict,UK001F,London,True,True,True,17,3,14,10,True,True,True
135,Metronomy,54QMjE4toDfiCryzYWCpXX,Q151783,1135985,3971668,strict,UK516F,Plymouth,True,True,True,2,0,2,0,True,False,True
136,Talk Talk,7Fo8TAyGJr4VmhE68QamMf,Q595705,712227,3944807,strict,UK001F,London,True,True,True,76,0,76,41,True,False,True
138,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,Q725926,929042,3805410,strict,UK001F,London,True,True,True,19,1,19,10,True,True,True
139,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Q849429,827351,3783264,strict,UK009F,Cardiff,True,True,True,11,4,7,0,True,True,True
140,Blue,2yEkZBBjhzKzt6LF5XMaFi,Q32825,822804,3677775,strict,UK001F,London,True,True,True,0,0,0,0,False,False,False
141,Kasabian,11wRdbnoYqRddKBrpHt4Ue,Q272517,1926968,3649101,strict,UK014F,Leicester,True,True,True,10,0,10,0,True,False,True
143,Bad Company,5AEG63ajney2BoDXi0Vb84,Q745517,1458078,3616192,strict,UK001F,London,True,True,True,69,3,68,41,True,True,True
144,Madness,4AYkFtEBnNnGuoo8HaHErd,Q745741,912052,3611935,strict,UK001F,London,True,True,True,31,0,31,18,True,False,True
145,Rixton,0kkxsdcaWmWU2yWAqclDh4,Q16672928,784995,3592716,strict,UK008F,Manchester,True,False,True,0,0,0,0,False,False,False
146,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,Q20684996,1421470,3587725,strict,UK001F,London,True,True,True,10,0,10,4,True,False,True
148,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Q8029799,973763,3575621,strict,UK001F,London,True,True,True,0,0,0,0,False,False,False
149,The Irrepressibles,1v5bOzXbhrQ57qSvRwGA6s,Q3020511,266977,3531545,strict,UK001F,London,True,True,True,0,0,0,0,False,False,False
151,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,Q29606,1863145,3488308,strict,UK008F,Manchester,True,True,True,3,3,0,1,True,True,False
