band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Humble Pie,London,Small Faces,London,Steve Marriott,1,Immediate Records,1,2,True
Idlewild,Edinburgh,Supergrass,Oxford,,0,Cooking Vinyl|Parlophone,2,2,False
Iron Maiden,London,New Model Army,Leeds,,0,EMI|Epic Records,2,2,False
Iron Maiden,London,The Dave Clark Five,London,,0,Capitol Records|Epic Records,2,2,True
Iron Maiden,London,The Hollies,Manchester,,0,Capitol Records|Epic Records,2,2,False
JLS,London,Jamiroquai,London,,0,Epic Records|Sony Music,2,2,True
JLS,London,Judas Priest,Birmingham,,0,Epic Records|Sony Music,2,2,False
JLS,London,Oasis,Manchester,,0,Epic Records|Sony Music,2,2,False
JLS,London,lostprophets,Cardiff,,0,Epic Records|Sony Music,2,2,False
Jamiroquai,London,Judas Priest,Birmingham,,0,Epic Records|Sony Music,2,2,False
Jamiroquai,London,Sky,London,,0,Epic Records|Mercury Records,2,2,True
Jamiroquai,London,Tears For Fears,Bath and North East Somerset,,0,Epic Records|Mercury Records,2,2,False
Jamiroquai,London,The Clash,London,,0,Columbia Records|Sony Music,2,2,True
Jamiroquai,London,The Dave Clark Five,London,,0,Columbia Records|Epic Records,2,2,True
Jamiroquai,London,Wham!,London,,0,Columbia Records|Epic Records,2,2,True
Jethro Tull,Luton,Queen,London,,0,EMI|Island Records,2,2,False
Judas Priest,Birmingham,Oasis,Manchester,,0,Epic Records|Sony Music,2,2,False
Judas Priest,Birmingham,lostprophets,Cardiff,,0,Epic Records|Sony Music,2,2,False
Kaiser Chiefs,Leeds,The Cure,Crawley,,0,Fiction Records|Polydor Records,2,2,False
Kaiser Chiefs,Leeds,The Moody Blues,Birmingham,,0,Polydor Records|Universal Music Group,2,2,False
Katrina & The Waves,Cambridge,Queen,London,,0,Capitol Records|EMI,2,2,False
Katrina & The Waves,Cambridge,Supergrass,Oxford,,0,Capitol Records|EMI,2,2,False
Katrina & The Waves,Cambridge,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,False
Killing Joke,London,The Orb,London,Paul Ferguson,1,Island Records,1,2,True
Klaxons,London,Siouxsie and the Banshees,London,,0,Geffen Records|Polydor Records,2,2,True
Klaxons,London,The Cure,Crawley,,0,Geffen Records|Polydor Records,2,2,False
