capture_key,spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label
Bring Me the Horizon [1Ffb6ejR6Fe5IamqA5oRUF],1Ffb6ejR6Fe5IamqA5oRUF,Q494784,Bring Me the Horizon,Bring Me the Horizon,Q42448,Sheffield,musical group,United Kingdom
Brinsley Schwarz [722MDCdw3Ee4SdESC4uy38],722MDCdw3Ee4SdESC4uy38,Q917541,Brinsley Schwarz,Brinsley Schwarz,,,musical group,United Kingdom
British Lion [5z5jrGRiONDfGvQydFriQh],5z5jrGRiONDfGvQydFriQh,Q81028649,British Lion,British Lion,,,musical group,United Kingdom
Britten Sinfonia [3P1VtkpIYbw6YoTo0KYlxy],3P1VtkpIYbw6YoTo0KYlxy,Q4971651,Britten Sinfonia,Britten Sinfonia,,,chamber orchestra,United Kingdom
Brodsky Quartet [4H0zGQILA7vJKl0ot2OYBf],4H0zGQILA7vJKl0ot2OYBf,Q924862,Brodsky Quartet,Brodsky Quartet,,,string quartet,United Kingdom
Broken English [1oXu5EcD1HrXjFtYJbUSsy],1oXu5EcD1HrXjFtYJbUSsy,Q3645241,Broken English,Broken English,,,musical group,United Kingdom
Bronski Beat [2wpWOzQE5TpA0dVnh5YD08],2wpWOzQE5TpA0dVnh5YD08,Q927927,Bronski Beat,Bronski Beat,Q84,London,musical group,United Kingdom
Bros [2LKrAJVB1842xPDvx4uuwU],2LKrAJVB1842xPDvx4uuwU,Q990686,Bros,Bros,Q741400,Camberley,musical group,United Kingdom
Brother Beyond [6To7KuC86pBGCtkRUiq80O],6To7KuC86pBGCtkRUiq80O,Q1144085,Brother Beyond,Brother Beyond,,,musical group,United Kingdom
Brotherhood of Man [4Cyr5aqgXza16isOrQNOvo],4Cyr5aqgXza16isOrQNOvo,Q832745,Brotherhood of Man,Brotherhood of Man,Q145,United Kingdom,musical group,United Kingdom
Brothers in Rhythm [0f2HTJx4jowMoiHBH4GzdU],0f2HTJx4jowMoiHBH4GzdU,Q2053844,Brothers in Rhythm,Brothers in Rhythm,,,musical group,United Kingdom
Brutality Will Prevail [3Lrq7jnwOegUxvOYbd49fw],3Lrq7jnwOegUxvOYbd49fw,Q15816280,Brutality Will Prevail,Brutality Will Prevail,Q10690,Cardiff,musical group,United Kingdom
Bucks Fizz [5ZfzzHE7rxONfoksJsLXrX],5ZfzzHE7rxONfoksJsLXrX,Q839831,Bucks Fizz,Bucks Fizz,Q145,United Kingdom,musical group,United Kingdom
Budapest [5YlxkQVXVioESz27HnltnS],5YlxkQVXVioESz27HnltnS,Q221191,Budapest,Budapest,,,musical group,United Kingdom
Budgie [42RbQv212uOjyfIXECLKfR],42RbQv212uOjyfIXECLKfR,Q508678,Budgie,Budgie,Q10690,Cardiff,musical group,United Kingdom
Bullet for My Valentine [7iWiAD5LLKyiox2grgfmUT],7iWiAD5LLKyiox2grgfmUT,Q485385,Bullet for My Valentine,Bullet for My Valentine,Q6497774,Bridgend,musical group,United Kingdom
Bury Tomorrow [6BD4lgmnh4vy6kkCaZRDWt],6BD4lgmnh4vy6kkCaZRDWt,Q1017202,Bury Tomorrow,Bury Tomorrow,Q79848,Southampton,musical group,United Kingdom
Bush [78SHxLdtysAXgywQ4vE0Oa],78SHxLdtysAXgywQ4vE0Oa,Q247949,Bush,Bush,Q84,London,musical group,United Kingdom
Busted [3Z6IRCo7umuk8K2XQy0ZDj],3Z6IRCo7umuk8K2XQy0ZDj,Q826185,Busted,Busted,Q203995,Southend-on-Sea,musical group,United Kingdom
Buzzard Buzzard Buzzard [69ilUSFj31FA2iLHtegRwi],69ilUSFj31FA2iLHtegRwi,Q111712356,Buzzard Buzzard Buzzard,Buzzard Buzzard Buzzard,Q10690,Cardiff,musical group,United Kingdom
Buzzcocks [2DxlS3lTLFIq70S7ap5H3y],2DxlS3lTLFIq70S7ap5H3y,Q939329,Buzzcocks,Buzzcocks,Q184579,Bolton,musical group,United Kingdom
Bôa [5jTtGLk1mGFMY5lQOvJYUj],5jTtGLk1mGFMY5lQOvJYUj,Q285481,Bôa,Bôa,Q84,London,rock band,United Kingdom
CCS [4Oty2fHJ2Rxddh9trZEOJh],4Oty2fHJ2Rxddh9trZEOJh,Q1108971,CCS,CCS,Q21,England,musical group,United Kingdom
Cable [6VA4NhJstBKfMW49xVlNml],6VA4NhJstBKfMW49xVlNml,Q5015621,Cable,Cable,Q43475,Derby,musical group,United Kingdom
Calva Louise [02nZLQtQ4vL5iHyp6atBrh],02nZLQtQ4vL5iHyp6atBrh,Q111128234,Calva Louise,Calva Louise,,,musical group,United Kingdom
Camel [3Uz6jx81OY2J5K8Z4wmy2P],3Uz6jx81OY2J5K8Z4wmy2P,Q612471,Camel,Camel,Q213465,Guildford,musical group,United Kingdom
CamelPhat [240wlM8vDrf6S4zCyzGj2W],240wlM8vDrf6S4zCyzGj2W,Q21008079,CamelPhat,CamelPhat,Q24826,Liverpool,disc jockey|musical group,United Kingdom
Camera Obscura [5gInJ5P5gQnOKPM3SUEVFt],5gInJ5P5gQnOKPM3SUEVFt,Q1028565,Camera Obscura,Camera Obscura,Q4093,Glasgow,musical group,United Kingdom
Campag Velocet [2p7NJsOsFQ4h2UpXVn0c4i],2p7NJsOsFQ4h2UpXVn0c4i,Q5027726,Campag Velocet,Campag Velocet,,,musical group,United Kingdom
Cancer [3AHeQk97Bdz43qM7GMlXL8],3AHeQk97Bdz43qM7GMlXL8,Q1032888,Cancer,Cancer,Q1673096,Ironbridge,musical group,United Kingdom
Carcass [5lhaM01nwvsMZpmPY2HVER],5lhaM01nwvsMZpmPY2HVER,Q283835,Carcass,Carcass,Q24826,Liverpool,musical group,United Kingdom
Caretaker [3ShPt4GcjgF96TsgEIfL05],3ShPt4GcjgF96TsgEIfL05,Q14159729,Caretaker,Caretaker,,,musical group,United Kingdom
Carmel [3uDjQUKw2WHSYtZcz2xjDo],3uDjQUKw2WHSYtZcz2xjDo,Q56661194,Carmel,Carmel,,,musical group,United Kingdom
Carnival Collective [3oRdM0cWjEGVIiImUHuYvh],3oRdM0cWjEGVIiImUHuYvh,Q125253018,Carnival Collective,Carnival Collective,Q131491,Brighton,musical group,United Kingdom
Carter the Unstoppable Sex Machine [5RFBPz01PqvSQ1QhEgaxOp],5RFBPz01PqvSQ1QhEgaxOp,Q251289,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,Q84,London,musical group,United Kingdom
Casino [5s8cz7EW4SrDCfBmAXiHhW],5s8cz7EW4SrDCfBmAXiHhW,Q5048839,Casino,Casino,Q2256,Birmingham,musical group,United Kingdom
Caskets [2XIbOWDT5vZPW7jNyzdfcK],2XIbOWDT5vZPW7jNyzdfcK,Q107981908,Caskets,Caskets,,,musical group,United Kingdom
Cassia [2413I9w4sRbBz4zi5zgwjX],2413I9w4sRbBz4zi5zgwjX,Q123148190,Cassia,Cassia,Q868637,Macclesfield,musical group,United Kingdom
Cast [0vBDEQ1aLZpe4zgn2fPH6Z],0vBDEQ1aLZpe4zgn2fPH6Z,Q780072,Cast,Cast,Q24826,Liverpool,musical group,United Kingdom
Catatonia [4Bgfzia8wyaGaTn42egzTv],4Bgfzia8wyaGaTn42egzTv,Q1050456,Catatonia,Catatonia,Q10690,Cardiff,musical group,United Kingdom
Catfish and the Bottlemen [2xaAOVImG2O6lURwqperlD],2xaAOVImG2O6lURwqperlD,Q16825909,Catfish and the Bottlemen,Catfish and the Bottlemen,Q25|Q996492,Q996492|Wales,musical group,United Kingdom
Cathedral [5O7ziOtiFUyRMBJN1J4Tpv],5O7ziOtiFUyRMBJN1J4Tpv,Q1050878,Cathedral,Cathedral,Q6225,Coventry,heavy metal band,United Kingdom
Catherine Wheel [1QPWAsWIjRcTfvY5uH8dov],1QPWAsWIjRcTfvY5uH8dov,Q502291,Catherine Wheel,Catherine Wheel,Q237253,Great Yarmouth,musical group,United Kingdom
Cecil [3IXZycTIchNkpYVBzPBfLN],3IXZycTIchNkpYVBzPBfLN,Q5055916,Cecil,Cecil,Q24826,Liverpool,rock band,United Kingdom
Cerebral Bore [0bamlDtTg8xXwgG4nd59bg],0bamlDtTg8xXwgG4nd59bg,Q3665077,Cerebral Bore,Cerebral Bore,Q4093,Glasgow,musical group,United Kingdom
Chas & Dave [38unGip4o3KhMfqHdHWB7K],38unGip4o3KhMfqHdHWB7K,Q1067929,Chas & Dave,Chas & Dave,,,musical duo,United Kingdom
Chase & Status [3jNkaOXasoc7RsxdchvEVq],3jNkaOXasoc7RsxdchvEVq,Q1067983,Chase & Status,Chase & Status,Q84,London,musical group,United Kingdom
Chasing the Monsoon [3ej2J99HZ72b1tLf8eqldI],3ej2J99HZ72b1tLf8eqldI,Q123517083,Chasing the Monsoon,Chasing the Monsoon,,,musical group,Wales
