origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Peckham,1,Fat White Family,Q2690524,Peckham,City of London|Southwark,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2690524,"The official OECD municipality list assigns City of London, Southwark to London FUA."
Perth,2,Alestorm,Q203000,Perth,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q203000,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Peterborough,1,The Wytches,Q172438,Peterborough,Peterborough,UK545F,Peterborough,strict,UK545F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q172438,The official OECD municipality list assigns Peterborough to Peterborough FUA.
Plumstead,1,Shampoo,Q946533,Plumstead,City of London|Greenwich,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q946533,"The official OECD municipality list assigns City of London, Greenwich to London FUA."
Pontypridd,1,lostprophets,Q1024900,Pontypridd,Rhondda Cynon Taf,UK009F,Cardiff,strict,UK009F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1024900,The official OECD municipality list assigns Rhondda Cynon Taf to Cardiff FUA.
Preston,1,Xentrix,Q184090,Preston,Preston,UK562F,Preston,strict,UK562F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q184090,The official OECD municipality list assigns Preston to Preston FUA.
Prestwich,1,The Fall,Q1003559,Prestwich,Bury,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1003559,The official OECD municipality list assigns Bury to Manchester FUA.
Ramsbottom,1,Elbow,Q2736093,Ramsbottom,Bury,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2736093,The official OECD municipality list assigns Bury to Manchester FUA.
Reading,4,Slowdive,Q161491,Reading,Reading|Wokingham,UK552F,Reading,strict,UK552F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q161491,"The official OECD municipality list assigns Reading, Wokingham to Reading FUA."
Redcliffe,1,Bee Gees,Q1995031,Los Hornos,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1995031,Redcliffe is outside the UK FUA universe.
Reigate,1,Disclosure,Q1018418,Reigate,Reigate and Banstead,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1018418,The official OECD municipality list assigns Reigate and Banstead to London FUA.
Ripley,1,Blind Faith,Q2337139,Ripley,Guildford,UK033F,Guildford,strict,UK033F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2337139,The official OECD municipality list assigns Guildford to Guildford FUA.
Romford,2,Underworld,Q1339305,Romford,City of London|Havering,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1339305,"The official OECD municipality list assigns City of London, Havering to London FUA."
Rotherham,1,Jive Bunny and the Mastermixers,Q217039,Rotherham,Rotherham,UK010F,Sheffield,strict,UK010F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q217039,The official OECD municipality list assigns Rotherham to Sheffield FUA.
Rothwell,1,The Pigeon Detectives,Q2162284,Rothwell,Leeds,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2162284,The official OECD municipality list assigns Leeds to Leeds FUA.
Royal Tunbridge Wells,1,SOFT PLAY,Q665489,Royal Tunbridge Wells,Tunbridge Wells,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q665489,The official OECD municipality list assigns Tunbridge Wells to London FUA.
Rugby,1,Spiritualized,Q623765,Rugby,Rugby,UK025F,Coventry,strict,UK025F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q623765,The official OECD municipality list assigns Rugby to Coventry FUA.
Ryde,1,Grade 2,Q776556,Ryde,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q776556,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Salisbury,1,Tokyo Blade,Q160642,Salisbury,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q160642,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Scotland,5,Runrig,Q22,Scotland,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q22,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Scunthorpe,1,Skarlett Riot,Q913386,Scunthorpe,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q913386,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Selkirk,1,Frightened Rabbit,Q772507,Selkirk,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q772507,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Sevenoaks,1,Orbital,Q939838,Sevenoaks,Sevenoaks,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q939838,The official OECD municipality list assigns Sevenoaks to London FUA.
Sheffield,19,Arctic Monkeys,Q42448,Sheffield,Sheffield,UK010F,Sheffield,strict,UK010F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q42448,The official OECD municipality list assigns Sheffield to Sheffield FUA.
Shotts,1,Octopus,Q1009915,Shotts,North Lanarkshire|West Lothian,UK004F|UK007F,Edinburgh|Glasgow,excluded_no_defensible_fua,,ambiguous_official_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1009915,"The available place hierarchy reaches multiple official FUAs: UK004F, UK007F."
Shropshire,1,T'Pau,Q23103,Shropshire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23103,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Somerset,2,The Wurzels,Q23157,Somerset,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23157,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
South London,1,Dry Cleaning,Q1394500,South London,City of London,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1394500,The official OECD municipality list assigns City of London to London FUA.
South Shields,1,Angelic Upstarts,Q279000,South Shields,South Tyneside,UK013F,Newcastle upon Tyne,strict,UK013F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q279000,The official OECD municipality list assigns South Tyneside to Newcastle upon Tyne FUA.
Southampton,3,Bury Tomorrow,Q79848,Southampton,Southampton,UK520F,Southampton,strict,UK520F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q79848,The official OECD municipality list assigns Southampton to Southampton FUA.
Southend-on-Sea,4,Nothing But Thieves,Q203995,Southend-on-Sea,Southend-on-Sea,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q203995,The official OECD municipality list assigns Southend-on-Sea to London FUA.
Southport,1,Gomez,Q868647,Southport,Sefton,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q868647,The official OECD municipality list assigns Sefton to Liverpool FUA.
St Albans,3,The Zombies,Q6226,St Albans,St Albans,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q6226,The official OECD municipality list assigns St Albans to London FUA.
Stafford,1,Climax Blues Band,Q826782,Stafford,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q826782,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Staines-upon-Thames,1,Hard-Fi,Q285323,Staines-upon-Thames,City of London|Spelthorne,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q285323,"The official OECD municipality list assigns City of London, Spelthorne to London FUA."
Stevenage,1,Fields Of The Nephilim,Q19795,Stevenage,Stevenage,UK021F,Stevenage,strict,UK021F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q19795,The official OECD municipality list assigns Stevenage to Stevenage FUA.
Stoke-on-Trent,1,Discharge,Q134902,Stoke-on-Trent,Stoke-on-Trent,UK027F,Stoke-on-Trent,strict,UK027F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q134902,The official OECD municipality list assigns Stoke-on-Trent to Stoke-on-Trent FUA.
Stourbridge,4,Diamond Head,Q661707,Stourbridge,Dudley,UK002F,West Midlands urban area,strict,UK002F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q661707,The official OECD municipality list assigns Dudley to West Midlands urban area FUA.
Suffolk,2,Cradle Of Filth,Q23111,Suffolk,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23111,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Sunderland,2,Eurythmics,Q188304,Sunderland,Sunderland,UK510F,Sunderland,strict,UK510F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q188304,The official OECD municipality list assigns Sunderland to Sunderland FUA.
Swansea,1,Badfinger,Q23051,Swansea,Swansea,UK517F,Swansea,strict,UK517F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23051,The official OECD municipality list assigns Swansea to Swansea FUA.
Swindon,1,XTC,Q200942,Swindon,Swindon,UK535F,Swindon,strict,UK535F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q200942,The official OECD municipality list assigns Swindon to Swindon FUA.
Tavistock,1,The Rumble Strips,Q668262,Tavistock,West Devon,UK516F,Plymouth,strict,UK516F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q668262,The official OECD municipality list assigns West Devon to Plymouth FUA.
Teignmouth,1,Muse,Q531311,Teignmouth,Teignbridge,UK018F,Exeter,strict,UK018F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q531311,The official OECD municipality list assigns Teignbridge to Exeter FUA.
Tewkesbury,1,[spunge],Q1000717,Tewkesbury,Tewkesbury,UK571F,Cheltenham,strict,UK571F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1000717,The official OECD municipality list assigns Tewkesbury to Cheltenham FUA.
Torquay,1,Wishbone Ash,Q209055,Torquay,Torbay,UK561F,Torbay,strict,UK561F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q209055,The official OECD municipality list assigns Torbay to Torbay FUA.
Totnes,1,Metronomy,Q1007106,Totnes,South Hams,UK516F,Plymouth,strict,UK516F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1007106,The official OECD municipality list assigns South Hams to Plymouth FUA.
Tottenham,1,The Dave Clark Five,Q503375,Tottenham,City of London|Haringey,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q503375,"The official OECD municipality list assigns City of London, Haringey to London FUA."
Tyne and Wear,1,Little Comets,Q23080,Tyne and Wear,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23080,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
United States,2,Londonbeat,Q145|Q30,United Kingdom|United States,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q30,United States is outside the UK FUA universe.
University of Leeds,1,Sigma,Q503424,University of Leeds,,,,strict,UK003F,reviewed_legacy_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q503424,Preserved from the reviewed top-200 mapping because the official municipality crosswalk does not resolve the reported place. Prior note: The reported formation place is an institution in Leeds and is assigned to Leeds FUA.
Ventnor,1,The Bees,Q1026673,Ventnor,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1026673,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Wakefield,1,The Cribs,Q216638,Wakefield,Wakefield,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q216638,The official OECD municipality list assigns Wakefield to Leeds FUA.
Wales,1,The Alarm,Q25,Wales,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q25,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Walthamstow,1,East 17,Q2321784,Walthamstow,City of London|Waltham Forest,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2321784,"The official OECD municipality list assigns City of London, Waltham Forest to London FUA."
Warrington,1,Viola Beach,Q215733,Warrington,Warrington,UK531F,Warrington,strict,UK531F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q215733,The official OECD municipality list assigns Warrington to Warrington FUA.
Warwick,1,Edgar Broughton Band,Q549761,Warwick,Warwick,UK025F,Coventry,strict,UK025F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q549761,The official OECD municipality list assigns Warwick to Coventry FUA.
Watford,5,The Staves,Q2598,Watford,Watford,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2598,The official OECD municipality list assigns Watford to London FUA.
Welwyn Garden City,1,The Subways,Q19789,Welwyn Garden City,Welwyn Hatfield,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q19789,The official OECD municipality list assigns Welwyn Hatfield to London FUA.
West Lothian,1,LF SYSTEM,,,West Lothian,UK007F,Edinburgh,strict,UK007F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,The official OECD municipality list assigns West Lothian to Edinburgh FUA.
West Midlands,1,The Charlatans,Q23124,West Midlands,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23124,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Westminster,1,Bad Company,Q189960,Westminster,City of London|Westminster,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q189960,"The official OECD municipality list assigns City of London, Westminster to London FUA."
Weston-super-Mare,1,Racey,Q845623,Weston-super-Mare,North Somerset,UK011F,Bristol,strict,UK011F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q845623,The official OECD municipality list assigns North Somerset to Bristol FUA.
Weybridge,1,You Me At Six,Q1754096,Weybridge,Elmbridge,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1754096,The official OECD municipality list assigns Elmbridge to London FUA.
Wheatley,1,Supergrass,Q1997905,Wheatley,,,,reviewed_extended,UK560F,reviewed_legacy_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1997905,Preserved from the reviewed top-200 mapping because the official municipality crosswalk does not resolve the reported place. Prior note: Included only in the extended sensitivity view as a reviewed association with Oxford FUA.
Whitley Bay,1,Tygers Of Pan Tang,Q2575441,Whitley Bay,North Tyneside,UK013F,Newcastle upon Tyne,strict,UK013F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2575441,The official OECD municipality list assigns North Tyneside to Newcastle upon Tyne FUA.
Wimbledon,1,The Buggles,Q736742,Wimbledon,City of London|Merton,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q736742,"The official OECD municipality list assigns City of London, Merton to London FUA."
Winchester,1,This Is The Kit,Q172157,Winchester,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q172157,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Windsor,1,Republica,Q464955,Windsor,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q464955,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Witton Gilbert,1,Prefab Sprout,Q778444,Witton Gilbert,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q778444,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Woking,1,The Jam,Q646225,Woking,Woking,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q646225,The official OECD municipality list assigns Woking to London FUA.
Wolverhampton,2,Slade,Q126269,Wolverhampton,Wolverhampton,UK002F,West Midlands urban area,strict,UK002F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q126269,The official OECD municipality list assigns Wolverhampton to West Midlands urban area FUA.
Worcestershire,1,The Honeydrippers,Q23135,Worcestershire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23135,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
